SNo,Series,Price ($),Cores,Threads,Clock rate (GHz),Clock rate (GHz),Cache (MB),Cache (MB),Cache,IGP,IGP,IGP,TDP (W),code­name,Socket,Release
14,i5-7600T,$224,4,4,2.8,3.70,—,—,6.0,HD 630,350,1100,35,Kaby Lake,LGA 1151,Q1 2017
15,i5-7500,$192,4,4,3.4,3.80,—,—,6.0,HD 630,350,1100,65,Kaby Lake,LGA 1151,Q1 2017
16,i5-7500T,$192,4,4,2.7,3.30,—,—,6.0,HD 630,350,1100,35,Kaby Lake,LGA 1151,Q1 2017
17,i5-7400,$182,4,4,3.0,3.50,—,—,6.0,HD 630,350,1000,65,Kaby Lake,LGA 1151,Q1 2017
18,i5-7400T,$187,4,4,2.4,3.00,—,—,6.0,HD 630,350,1000,35,Kaby Lake,LGA 1151,Q1 2017
19,i3-7350K,$179,2,4,4.2,—,—,—,4.0,HD 630,350,1150,60,Kaby Lake,LGA 1151,Q1 2017
20,i3-7320,$157,2,4,4.1,—,—,—,4.0,HD 630,350,1150,51,Kaby Lake,LGA 1151,Q1 2017
21,i3-7300,$147,2,4,4.0,—,—,—,4.0,HD 630,350,1150,51,Kaby Lake,LGA 1151,Q1 2017
22,i3-7300T,$147,2,4,3.5,—,—,—,4.0,HD 630,350,1100,35,Kaby Lake,LGA 1151,Q1 2017
23,i3-7100,$117,2,4,3.9,—,—,—,3.0,HD 630,350,1100,51,Kaby Lake,LGA 1151,Q1 2017
24,i3-7100T,$117,2,4,3.4,—,—,—,3.0,HD 630,350,1100,35,Kaby Lake,LGA 1151,Q1 2017
25,i3-7101E,$117,2,4,3.9,—,—,—,3.0,HD 630,350,1100,54,Kaby Lake,LGA 1151,Q1 2017
26,i3-7101TE,$117,2,4,3.4,—,—,—,3.0,HD 630,350,1100,35,Kaby Lake,LGA 1151,Q1 2017
27,G4620,$93,2,4,3.7,—,—,—,3.0,HD 630,350,1100,51,Kaby Lake,LGA 1151,Q1 2017
28,G4600,$82,2,4,3.6,—,—,—,3.0,HD 630,350,1100,51,Kaby Lake,LGA 1151,Q1 2017
29,G4600T,$75,2,4,3.0,—,—,—,3.0,HD 630,350,1050,35,Kaby Lake,LGA 1151,Q1 2017
30,G4560,$64,2,4,3.5,—,—,—,3.0,HD 610,350,1050,54,Kaby Lake,LGA 1151,Q1 2017
31,G4560T,$64,2,4,2.9,—,—,—,3.0,HD 610,350,1050,35,Kaby Lake,LGA 1151,Q1 2017
32,G3950,$52,2,2,3.0,—,—,—,2.0,HD 610,350,1050,51,Kaby Lake,LGA 1151,Q1 2017
33,G3930,$42,2,2,2.9,—,—,—,2.0,HD 610,350,1050,51,Kaby Lake,LGA 1151,Q1 2017
34,G3930T,$42,2,2,2.7,—,—,—,2.0,HD 610,350,1000,35,Kaby Lake,LGA 1151,Q1 2017
